Dataset,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa
,time,gmean,fs,gmean,fs,gmean,fs
Colorectal_GSE25070,279.6856277068456,0.932155231215339,2.5,0.0,0.0,0.0,0.0
Colorectal_GSE32323,418.0379030863444,0.7609475708248731,1.4,0.0,0.0,0.0,0.0
Colorectal_GSE44076,863.6202124436696,0.9815177051448141,3.066666666666667,0.0,0.0,0.0,0.0
Colorectal_GSE44861,353.18874569733936,0.7221218790174929,4.666666666666667,0.0,0.0,0.0,0.0
Liver_GSE14520_U133A,941.6292608737946,0.9389672561185328,9.2,0.0,0.0,0.0,0.0
Liver_GSE50579,313.77069309552513,0.5104205126020641,3.533333333333333,0.0,0.0,0.0,0.0
Liver_GSE62232,562.1826215108235,0.8454709855703159,1.8333333333333333,0.0,0.0,0.0,0.0
Leukemia_GSE22529_U133A,271.98162653446195,0.8111194926585112,1.8666666666666667,0.0,0.0,0.0,0.0
Leukemia_GSE22529_U133B,250.62431797186534,0.8524377394990329,1.9,0.0,0.0,0.0,0.0
Leukemia_GSE33615,410.4044078509013,0.9804737854124365,1.5333333333333334,0.0,0.0,0.0,0.0
Leukemia_GSE63270,582.2947059710821,0.9360328777630006,3.2666666666666666,0.0,0.0,0.0,0.0
ALL-AML-full,208.7423971970876,0.876410819510402,3.7,0.0,0.0,0.0,0.0
breastCancer-full,279.33191253344216,0.6053562213533686,7.0,0.0,0.0,0.0,0.0
Prostate_GSE6919_U95Av2,312.3173161824544,0.5345193022055627,7.233333333333333,0.0,0.0,0.0,0.0
Prostate_GSE6919_U95B,242.53561600049338,0.5591823641725405,7.766666666666667,0.0,0.0,0.0,0.0
Prostate_GSE6919_U95C,258.28959169387815,0.5362110360332896,7.133333333333334,0.0,0.0,0.0,0.0
Prostate_GSE11682,220.90516130924226,0.3287987010226309,3.2666666666666666,0.0,0.0,0.0,0.0
prostate_tumorVSNormal-full,271.84154731432596,0.8305335816976882,3.8,0.0,0.0,0.0,0.0
