Dataset,sms_moneat,sms_moneat,sms_moneat
breastCancer-full,0.5945732299162007,0.5734278364515425,0.6292745603386514
ALL-AML-full,0.8321014577617788,0.8378234875993663,0.7484669142095849
prostate_tumorVSNormal-full,0.5613938357101999,0.5666076601565133,0.641011126379445
Breast_GSE22820,0.9546745558442111,0.9240680214913158,0.8183025829783296
Breast_GSE42568,0.9240115103451304,0.9302555240055761,0.6819940114494106
Breast_GSE59246,0.6708073555785563,0.671526091881164,0.672064131730062
Breast_GSE70947,0.7871389673095663,0.7889652596555249,0.7715269593771924
Colorectal_GSE8671,0.9755328774570302,0.9755328774570302,0.8630518362312193
Colorectal_GSE44076,0.9520028949994259,0.9515804403003307,0.9463844159929071
Colorectal_GSE44861,0.7940360065313743,0.7922201919793307,0.7636750680148193
Leukemia_GSE22529_U133A,0.7813052529585142,0.7715421456647324,0.7101727664179954
Leukemia_GSE33615,0.9824045318333193,0.9859236254666555,0.823256309692748
Leukemia_GSE63270,0.8952485610039981,0.8854854537102164,0.8050897197305061
Liver_GSE50579,0.726573343927225,0.7498353940526823,0.5831235173287751
Liver_GSE62232,0.8918329025940456,0.8918329025940456,0.774065392946988
Prostate_GSE6919_U95Av2,0.6200173804098577,0.6200258139498683,0.6006912400635536
Prostate_GSE11682,0.2580880229039762,0.31499158227686114,0.3787987010226309
Prostate_GSE46602,0.8195772648095956,0.8195772648095956,0.77786255366006
