Dataset,sms_moneat,sms_moneat,sms_moneat
Colorectal_GSE25070,0.8956191309758155,0.8760929163882519,0.8692972453439848
Colorectal_GSE32323,0.9069035593728849,0.8873773447853214,0.854044011451988
Colorectal_GSE44076,0.9592458869602626,0.9609564436919122,0.9734401863704096
Colorectal_GSE44861,0.809300191864984,0.8183849928807364,0.8178158044621751
Leukemia_GSE22529_U133A,0.8318868339163661,0.8318868339163661,0.8354059275497022
Leukemia_GSE22529_U133B,0.833742992457547,0.833742992457547,0.8301086401297726
ALL-AML-full,0.8182455463245308,0.839229417222283,0.8325608101923283
Breast_GSE22820,0.8934614871384204,0.9254871178994379,0.9267948204717538
Breast_GSE59246,0.7226613561126322,0.704441643892077,0.7025295709737286
Breast_GSE70947,0.8039972737775092,0.8040617383204699,0.8001501772748546
breastCancer-full,0.6374652818278158,0.6337225116422599,0.6530101442068367
prostate_tumorVSNormal-full,0.5784168603465041,0.5611998629204932,0.5877120714009255
